index,balance a2c,balance ppo,balance ddpg
20170726,1255743.555,1214244.402,1301347.889
20170727,1255898.213,1216928.873,1302077.94
20170728,1254631.59,1218268.539,1300246.254
20170731,1254449.017,1216048.182,1299934.574
20170801,1262797.852,1233345.759,1328430.294
20170802,1259468.253,1254791.097,1322642.302
20170803,1267475.283,1264854.881,1325844.195
20170804,1266207.875,1263617.75,1324518.375
20170807,1266346.982,1263451.682,1324292.503
20170808,1267257.951,1263236.422,1324672.688
20170809,1268947.774,1263202.023,1326528.358
20170810,1268210.329,1262861.422,1327099.741
20170811,1269851.583,1263484.559,1326886.506
20170814,1271256.746,1262251.272,1327595.492
20170815,1269682.921,1261261.854,1325032.028
20170816,1270002.544,1258202.501,1320980.551
20170817,1258980.788,1252842.373,1314207.647
20170818,1259436.921,1253070.494,1315500.94
20170821,1268096.628,1257077.643,1324090.553
20170822,1270209.625,1255747.008,1325008.12
20170823,1271373.929,1257882.535,1328566.712
20170824,1255099.474,1247357.446,1313418.743
20170825,1250178.138,1244209.424,1311514.145
20170828,1251305.149,1242763.974,1313163.168
20170829,1261603.706,1250949.931,1324468.837
20170830,1258649.355,1248245.442,1318404.418
20170831,1256843.505,1245802.531,1314109.378
20170901,1259125.185,1245915.377,1314701.136
20170905,1255687.233,1246215.909,1313878.967
20170906,1257354.641,1251482.065,1321222.691
20170907,1260387.209,1255163.531,1324563.165
20170908,1266992.114,1254972.363,1326991.093
20170911,1272165.32,1254609,1326240.945
20170912,1255951.285,1237020.377,1312023.304
20170913,1262118.595,1233682.326,1309459.913
20170914,1256769.72,1231051.962,1314724.9
20170915,1254403.915,1230768.499,1317557.435
20170918,1273492.7,1241618.678,1330793.917
20170919,1283975.629,1247952.675,1332601.228
20170920,1289983.892,1251689.483,1334847.587
20170921,1291662.975,1258618.785,1339709.228
20170922,1290916.045,1265376.759,1346966.939
20170925,1296806.007,1270169.619,1352804.849
20170926,1301596.494,1273757.712,1357151.661
20170927,1303235.047,1275972.957,1362921.638
20170928,1302846.413,1273302.972,1359290.4
20170929,1302754.728,1273495.254,1360227.857
20171003,1301690.767,1264528.004,1353508.275
20171004,1299326.494,1267070.469,1349574.979
20171005,1309470.2,1273887.62,1353352.253
20171006,1311281.843,1272110.931,1357003.137
20171009,1315212.371,1273809.104,1356339.968
20171010,1325257.404,1281389.765,1362104.753
20171011,1229807.573,1205936.905,1283892.941
20171012,1323888.944,1284166.493,1368719.387
20171013,1343469.478,1293513.314,1376085.463
20171016,1337382.568,1294256.228,1375678.158
20171017,1331915.828,1294394.851,1375176.782
20171018,1335917.197,1297533.918,1380025.774
20171019,1337684.375,1300490.992,1383028.049
20171020,1331676.171,1301344.026,1384414.091
20171023,1328471.914,1302706.272,1384587.063
20171024,1341287.175,1310441.971,1390765.918
20171025,1327779.428,1317350.762,1392110.808
20171026,1335996.981,1317573.903,1400993.366
20171027,1328218.236,1316510.319,1403183.461
20171030,1343980.284,1326716.096,1416646.373
20171031,1337516.51,1328278.237,1414218.602
20171101,1349626.667,1326912.288,1426498.888
20171102,1340560.622,1324408.502,1427985.057
20171103,1338729.034,1332078.542,1425933.16
20171106,1326582.703,1344231.983,1426023.357
20171107,1327527.182,1349261.368,1417245.122
20171108,1335585.897,1349502.686,1417401.645
20171109,1339402.535,1348643.562,1422912.557
20171110,1346747.452,1357242.867,1429510.107
20171113,1343717.293,1365699.322,1426851.119
20171114,1347188.327,1368284.999,1417173.728
20171115,1340503.023,1367100.871,1411831.323
20171116,1344437.664,1371619.218,1418560.266
20171117,1344001.892,1365158.533,1412598.303
20171120,1341459.542,1360169.593,1410809.412
20171121,1341236.27,1355439.841,1410285.149
20171122,1332362.268,1353081.723,1405503.377
20171124,1329575.819,1344902.72,1402219.261
20171127,1333785.205,1349959.381,1411388.011
20171128,1331199.396,1344815.483,1411188.049
20171129,1331410.447,1345354.67,1414806.737
20171130,1336194.983,1357742.791,1419702.736
20171201,1334658.372,1357409.517,1413704.871
20171204,1334509.962,1359573.759,1411651.271
20171205,1329695.95,1359395.347,1413453.36
20171206,1346773.784,1367487.086,1437828.449
20171207,1354674.42,1362397.07,1448593.145
20171208,1379331.687,1378999.258,1470123.798
20171211,1380952.053,1374617.265,1469727.645
20171212,1389109.344,1368174.871,1471673.324
20171213,1380008.531,1368433.51,1463284.004
20171214,1370899.471,1370611.536,1461441.914
20171215,1376878.496,1372481.481,1463908.583
20171218,1384557.342,1378273.311,1472486.652
20171219,1389958.731,1390071.255,1478408.116
20171220,1403047.713,1393195.884,1497103.983
20171221,1401771.074,1398544.31,1495550.169
20171222,1397540.022,1392957.918,1487095.611
20171226,1405935.822,1410488.023,1498212.243
20171227,1413684.445,1417129.629,1506991.231
20171228,1404925.222,1410751.415,1497043.067
20171229,1403776.701,1408087.41,1491121.758
20180103,1430561.045,1413127.143,1502569.43
20180104,1424059.018,1408836.917,1494828.106
20180105,1424727.134,1397790.313,1494803.068
20180108,1419042.171,1399175.386,1492407.523
20180109,1420843.865,1402753.243,1494294.616
20180110,1413558.84,1393598.253,1486055.562
20180111,1429066.929,1401710.597,1494306.569
20180112,1328237.742,1283390.324,1364784.218
20180116,1433440.871,1414469.502,1494691.584
20180117,1434259.914,1425530.329,1500057.732
20180118,1432824.14,1424104.75,1498557.625
20180119,1432825.36,1424104.75,1498557.625
20180122,1432826.08,1424104.75,1498557.625
20180123,1432825.73,1424104.75,1498557.625
20180124,1432824.88,1424104.75,1498557.625
20180125,1432825.06,1424104.75,1498557.625
20180126,1432823.05,1424104.75,1498557.625
20180129,1432821.45,1424104.75,1498557.625
20180130,1432821.16,1424104.75,1498557.625
20180131,1432820.3,1424104.75,1498557.625
20180201,1432819.85,1424104.75,1498557.625
20180202,1432819.96,1424104.75,1498557.625
20180205,1432819.15,1424104.75,1498557.625
20180206,1432817.36,1424104.75,1498557.625
20180207,1432816.2,1424104.75,1498557.625
20180208,1432818.02,1424104.75,1498557.625
20180209,1432819.15,1424104.75,1498557.625
20180212,1432820.23,1424104.75,1498557.625
20180213,1432821.27,1424104.75,1498557.625
20180214,1432825.66,1424104.75,1498557.625
20180215,1432824.85,1424104.75,1498557.625
20180216,1432822.9,1424104.75,1498557.625
20180220,1432825.73,1424104.75,1498557.625
20180221,1432826.38,1424104.75,1498557.625
20180222,1432826.2,1424104.75,1498557.625
20180223,1432824.77,1424104.75,1498557.625
20180226,1432824.05,1424104.75,1498557.625
20180227,1432822.52,1424104.75,1498557.625
20180228,1432820.97,1424104.75,1498557.625
20180301,1432831.64,1424104.75,1498557.625
20180302,1432834.23,1424104.75,1498557.625
20180305,1432832.98,1424104.75,1498557.625
20180306,1432832.86,1424104.75,1498557.625
20180307,1432832.63,1424104.75,1498557.625
20180308,1432834.23,1424104.75,1498557.625
20180309,1432835.74,1424104.75,1498557.625
20180312,1432836.67,1424104.75,1498557.625
20180313,1432836.98,1424104.75,1498557.625
20180314,1432835.77,1424104.75,1498557.625
20180315,1432836.69,1424104.75,1498557.625
20180316,1432838.01,1424104.75,1498557.625
20180319,1432837.83,1424104.75,1498557.625
20180320,1432837.03,1424104.75,1498557.625
20180321,1432837.68,1424104.75,1498557.625
20180322,1432837.45,1424104.75,1498557.625
20180323,1432838.08,1424104.75,1498557.625
20180326,1432838.24,1424104.75,1498557.625
