,index,balance
227,38,1054999.8393831253
228,39,1056957.6887483597
229,40,1058555.1799592376
230,41,1060062.083492279
231,42,1059914.2105808258
232,43,1062982.570257187
233,44,1067055.9989480972
234,45,1079172.7635965347
235,46,1085942.9139871597
236,47,1099267.6610574722
237,48,1097577.9149637222
238,49,1105933.4755105972
239,50,1097877.6151590347
240,51,1103020.1385965347
241,52,1102510.7557840347
242,53,1107429.9237527847
243,54,1111413.7440652847
244,55,1111114.2684793472
245,56,1104025.0887918472
246,57,1105114.5653543472
247,58,1107454.4628152847
248,59,1099898.2411355972
249,60,1097164.9530496597
250,61,1092390.3012080193
251,62,1092390.3217002032
252,0,1102526.3188533783
253,1,1102954.02586174
254,2,1108394.1607208252
255,3,1107378.2991085052
256,4,1107664.1640605927
257,5,1117818.1175765991
258,6,1113177.5666809082
259,7,1112160.989182949
260,8,1107796.8523674011
261,9,1106236.8622550964
262,10,1100383.5448246002
263,11,1101171.8775053024
264,12,1102653.3158826828
265,13,1107874.6821689606
266,14,1119018.9079351425
267,15,1120220.3784022331
268,16,1117053.5206193924
269,17,1111162.5758032799
270,18,1104660.4348649979
271,19,1111162.5477924347
272,20,1110842.9108438492
273,21,1125436.0422801971
274,22,1125064.744600296
275,23,1129696.2397918701
276,24,1128225.1309285164
277,25,1135321.7267074585
278,26,1139813.5857276917
279,27,1146568.4613895416
280,28,1155044.4513516426
281,29,1160098.8188476562
282,30,1163498.1994771957
283,31,1166115.3695583344
284,32,1173089.3201694489
285,33,1173969.5760288239
286,34,1175421.6463413239
287,35,1174169.8846225739
288,36,1172621.693704605
289,37,1170145.5677280426
290,38,1184053.9935092926
291,39,1181565.3216342926
292,40,1181142.1697788239
293,41,1177936.55503273
294,42,1174100.8982944489
295,43,1170461.6971225739
296,44,1169287.0228061676
297,45,1169619.2479038239
298,46,1166348.4070835114
299,47,1164367.2205600739
300,48,1166938.7674350739
301,49,1169839.6482944489
302,50,1164021.1634311676
303,51,1158281.3001499176
304,52,1140517.7547397614
305,53,1136474.752298355
306,54,1137633.1873569489
307,55,1133159.4764194489
308,56,1130359.7498569489
309,57,1138300.8235874176
310,58,1136535.8387241364
311,59,1139288.2576694489
312,60,1135782.1580600739
313,61,1134579.9837436676
314,62,1134580.0053761958
315,0,1127274.2698373795
316,1,1129663.424648285
317,2,1129572.0548591614
318,3,1129918.087568462
319,4,1129106.8343172073
320,5,1126370.3635749817
321,6,1119829.9980516434
322,7,1130406.812011242
323,8,1123944.0863294601
324,9,1112031.7307281494
325,10,1121799.2891349792
326,11,1117158.6362104416
327,12,1126379.889995575
328,13,1136517.8183174133
329,14,1138176.4139118195
330,15,1139148.188217163
331,16,1138662.809355259
332,17,1134403.6744832993
333,18,1133269.25
334,19,1133238.1821289062
335,20,1132999.2185668945
336,21,1134318.1940917969
337,22,1132943.2861328125
338,23,1132342.25
339,24,1132342.25
340,25,1132342.25
341,26,1132045.42578125
342,27,1131913.625
343,28,1131913.625
344,29,1131913.625
345,30,1131913.625
346,31,1131913.625
347,32,1131913.625
348,33,1132327.1157226562
349,34,1133413.3442382812
350,35,1133058.625
351,36,1132790.9182281494
352,37,1131405.9672851562
353,38,1131819.8122558594
354,39,1135909.2983398438
355,40,1136923.1430664062
356,41,1138659.3981933594
357,42,1137366.5571289062
358,43,1137821.342470646
359,44,1138768.9083518982
360,45,1145069.236175537
361,46,1143246.8567810059
362,47,1147005.147907257
363,48,1150313.8672790527
364,49,1150480.4033813477
365,50,1147904.0780639648
366,51,1156395.1941976547
367,52,1154297.8143091202
368,53,1153771.8349752426
369,54,1154804.363658905
370,55,1150833.0910873413
371,56,1154216.8865568638
372,57,1152691.7524738312
373,58,1159280.0130119324
374,59,1154811.2470229864
375,60,1156688.0234012604
376,61,1162462.3822517395
377,62,1162460.6528350322
378,0,1151456.6193845272
379,1,1156764.1814575195
380,2,1155732.3627319336
381,3,1154959.6761796474
382,4,1161106.791770935
383,5,1161970.4815149307
384,6,1168094.5011825562
385,7,1166369.0301055908
386,8,1165457.3761005402
387,9,1166311.3974550664
388,10,1166460.5244522095
389,11,1164045.7656841278
390,12,1162416.033115983
391,13,1165384.5534505844
392,14,1171856.2107143402
393,15,1172403.9666229486
394,16,1171231.625
395,17,1171319.046875
396,18,1172186.8364257812
397,19,1171051.3260498047
398,20,1171111.024230957
399,21,1174865.3603515625
400,22,1177668.32421875
401,23,1174521.810546875
402,24,1171842.409664154
403,25,1160612.8021144867
404,26,1161657.287788391
405,27,1169823.354166031
406,28,1173552.0737743378
407,29,1172084.69906044
408,30,1157419.8698062897
409,31,1155149.7905654907
410,32,1157308.4556369781
411,33,1169922.3901469707
412,34,1163695.9683904648
413,35,1161953.7356581688
414,36,1160046.884217739
415,37,1162012.8941054344
416,38,1166530.3317241669
417,39,1169294.4879741669
418,40,1176328.9225444794
419,41,1178083.8102397919
420,42,1160943.8727397919
421,43,1162272.9391460419
422,44,1163471.9010601044
423,45,1161559.0439987183
424,46,1180127.0772018433
425,47,1187076.4727096558
426,48,1188065.4985694885
427,49,1193820.091342926
428,50,1199465.690952301
429,51,1203468.2993507385
430,52,1205113.0727882385
431,53,1202175.2134132385
432,54,1196758.708530426
433,55,1193559.079624176
434,56,1189451.8286930323
435,57,1190839.3452945948
436,58,1192718.8824039698
437,59,1191423.8999820948
438,60,1194779.3709440231
439,61,1205492.9666471481
440,62,1205492.9608743405
441,0,1208975.7419700623
442,1,1219846.1343359947
443,2,1219585.616493225
444,3,1216778.6379127502
445,4,1218901.5722827911
446,5,1221052.458828926
447,6,1217173.7763023376
448,7,1217644.518732071
449,8,1228089.8084459305
450,9,1228126.410525322
451,10,1236884.6615514755
452,11,1231887.5985450745
453,12,1242390.8410263062
454,13,1240719.6541555524
455,14,1252338.5396270752
456,15,1245990.0796175003
457,16,1248861.7772815228
458,17,1255354.5297801495
459,18,1250967.2665138245
460,19,1253627.6746491194
461,20,1258466.9441803694
462,21,1264280.4770584106
463,22,1263139.2431678772
464,23,1263857.286643982
465,24,1259466.622303009
466,25,1260122.7344305515
467,26,1257465.2937316895
468,27,1254268.8010082245
469,28,1253586.8171424866
470,29,1248451.5457525253
471,30,1240340.7842445374
472,31,1243497.8415646553
473,32,1238129.6783828735
474,33,1239599.8658828735
475,34,1244367.4440078735
476,35,1241433.0910873413
477,36,1240539.1718940735
478,37,1238085.8574409485
479,38,1258720.4078674316
480,39,1267758.6363830566
481,40,1286273.2145080566
482,41,1288594.0227775574
483,42,1289930.5471229553
484,43,1280009.4934120178
485,44,1274925.8781776428
486,45,1279014.8908729553
487,46,1288660.0662498474
488,47,1290924.1287498474
489,48,1301095.3787498474
490,49,1302924.2041845322
491,50,1293150.4319343567
492,51,1303212.6427459717
493,52,1311340.8449783325
494,53,1306061.8346939087
495,54,1307255.6940689087
496,55,1320221.5846939087
497,56,1318026.1081314087
498,57,1317851.0271492004
499,58,1318583.5193367004
500,59,1323445.6677742004
501,60,1316296.1990242004
502,61,1323041.0037117004
503,62,1323041.0324541826
504,0,1337038.3901062012
505,1,1341437.9621315002
506,2,1340096.5
507,3,1340096.5
508,4,1340096.5
509,5,1340096.5
510,6,1340096.5
511,7,1340096.5
512,8,1340096.5
513,9,1340096.5
514,10,1340096.5
515,11,1340096.5
516,12,1340096.5
517,13,1340096.5
518,14,1340096.5
519,15,1340096.5
520,16,1340096.5
521,17,1340096.5
522,18,1340096.5
523,19,1340096.5
524,20,1340096.5
525,21,1340096.5
526,22,1340096.5
527,23,1340096.5
528,24,1340096.5
529,25,1340096.5
530,26,1340096.5
531,27,1340096.5
532,28,1340096.5
533,29,1340096.5
534,30,1340096.5
535,31,1340096.5
536,32,1340096.5
537,33,1340096.5
538,34,1340096.5
539,35,1340096.5
540,36,1340096.5
541,37,1340096.5
542,38,1340096.5
543,39,1340096.5
544,40,1340096.5
545,41,1340096.5
546,42,1340096.5
547,43,1340096.5
548,44,1340096.5
549,45,1340096.5
550,46,1340096.5
551,47,1340096.5
552,48,1340096.5
553,49,1340096.5
554,50,1337189.189819336
555,51,1339642.7270507812
556,52,1338833.7614746094
557,53,1310432.8967285156
558,54,1292492.3332519531
559,55,1322844.9967041016
