index,balance 1,balance 2,balance 3
20170613,1359031.809,1276059.107,1278409.705
20170614,1356545.185,1273943.445,1278034.626
20170615,1354886.821,1273474.772,1278765.053
20170616,1360159.947,1281487.86,1286904.986
20170619,1358648.401,1280203.761,1284387.743
20170620,1358529.515,1280206.244,1283553.964
20170621,1358022.551,1281477.367,1284514.492
20170622,1360804.441,1283223.864,1287217.187
20170623,1361005.396,1284162.805,1287988.337
20170626,1354052.505,1278223.843,1281255.766
20170627,1345079.43,1270226.999,1274774.252
20170628,1350143.262,1277807.783,1278693.124
20170629,1357294.637,1285624.897,1288156.271
20170630,1310459.122,1220078.338,1270877
20170705,1344962.817,1272081.649,1272929.392
20170706,1350803.461,1278264.776,1278584.687
20170707,1354158.373,1283657.941,1281904.482
20170710,1354797.833,1284884.521,1282565.846
20170711,1368303.924,1296875.194,1294743.726
20170712,1365136.365,1292959.868,1289756.157
20170713,1375489.136,1302331.041,1297986.872
20170714,1373967.525,1300540.122,1296542.889
20170717,1370524.874,1296514.547,1292374.162
20170718,1380314.654,1306640.227,1301490.55
20170719,1378895.613,1305309.084,1300461.045
20170720,1379780.847,1306044.994,1299836.599
20170721,1381554.924,1306939.628,1298951.504
20170724,1388857.544,1319621.255,1313078.542
20170725,1398735.686,1334784.659,1319854.019
20170726,1407195.42,1346417.756,1328788.848
20170727,1405788.25,1345071.375,1327460.125
20170728,1405562.378,1344845.378,1327234.128
20170731,1405942.563,1345225.688,1327614.438
20170801,1407798.233,1347081.358,1329470.046
20170802,1408369.616,1347652.741,1330041.491
20170803,1408156.381,1347439.443,1329828.193
20170804,1408865.367,1348148.461,1330537.211
20170807,1406301.903,1345584.997,1327973.747
20170808,1402250.434,1341533.527,1323922.27
20170809,1395225.516,1334707.173,1317142.103
20170810,1396389.192,1335946.58,1318435.283
20170811,1405696.785,1344669.74,1327046.302
20170814,1406640.13,1345577.603,1327961.259
20170815,1410467.994,1349209.14,1331530.804
20170816,1394351.115,1333813.015,1316345.679
20170817,1392288.41,1331747.41,1314414.738
20170818,1394067.631,1333474.981,1316081.117
20170821,1405917.242,1344859.636,1327397.834
20170822,1399291.288,1338532.074,1321276.482
20170823,1394627.066,1334162.406,1316988.956
20170824,1395472.123,1334768.078,1317567.779
20170825,1394299.688,1333928.88,1316795.719
20170828,1401850.986,1341311.711,1324152.267
20170829,1405334.579,1344693.257,1327520.299
20170830,1407780.066,1347154.709,1329959.951
20170831,1406968.574,1346144.656,1329247.837
20170901,1392262.753,1331180.202,1315071.667
20170905,1389774.12,1328464.546,1312418.395
20170906,1395165.187,1333755.547,1317730.57
20170907,1398235.292,1336616.912,1320507.827
