,index,balance
102,39,1065193.826625824
103,40,1069174.0227928162
104,41,1066601.0129508972
105,42,1069004.2486534119
106,43,1069421.3040428162
107,44,1071618.0155296326
108,45,1069967.1581077576
109,46,1063867.4844360352
110,47,1053734.7738113403
111,48,1047427.6658439636
112,49,1046516.8566246033
113,50,1051701.2296714783
114,51,1050538.8795127869
115,52,1058349.5183410645
116,53,1061236.8561553955
117,54,1058260.455997467
118,55,1071787.9600639343
119,56,1032010.9553718567
120,57,1015429.7759208679
121,58,1028570.6937332153
122,59,1043272.0631866455
123,60,1056510.5227165222
124,61,1059703.029434204
125,62,1059703.0248147014
126,0,1057510.907664299
127,1,1058980.6668314934
128,2,1076516.4251384735
129,3,1083333.451907158
130,4,1095956.4544773102
131,5,1099792.619711399
132,6,1113067.6343660355
133,7,1111845.600057602
134,8,1116868.3629159927
135,9,1114182.5481328964
136,10,1120826.2738144398
137,11,1113631.2707207203
138,12,1120934.1367163658
139,13,1121030.6628165245
140,14,1119270.8031287193
141,15,1112170.5993628502
142,16,1111444.3120245934
143,17,1107141.5184378624
144,18,1107197.5834403038
145,19,1099901.15203619
146,20,1104924.4343771935
147,21,1106804.5528082848
148,22,1119990.4757819176
149,23,1118347.3228125572
150,24,1118889.928914547
151,25,1117396.3471884727
152,26,1124693.850324154
153,27,1118030.0292105675
154,28,1124100.629216671
155,29,1119009.7373480797
156,30,1119759.9287467003
157,31,1124891.1843771935
158,32,1121476.9645285606
159,33,1120899.3995261192
160,34,1121716.491414547
161,35,1118045.13124609
162,36,1119382.8507819176
163,37,1116089.676557064
164,38,1123937.5709280968
165,39,1125979.8260931969
166,40,1124382.4400000572
167,41,1125429.9545340538
168,42,1128971.9740576744
169,43,1131119.946568966
170,44,1131439.9056220055
171,45,1131665.3770346642
172,46,1108801.18719244
173,47,1122732.9353079796
174,48,1103547.6295371056
175,49,1100047.112645626
176,50,1111748.781407833
177,51,1103900.6260886192
178,52,1105662.7392249107
179,53,1105591.4306235313
180,54,1111210.6085944176
181,55,1116374.0090613365
182,56,1106599.1110892296
183,57,1094084.9656271935
184,58,1105597.204846859
185,59,1106507.0751547813
186,60,1092886.3021826744
187,61,1102479.2593665123
188,62,1102479.2331120882
189,0,1097119.7070274353
190,1,1109247.2487869263
191,2,1111076.8330478668
192,3,1111322.7046394348
193,4,1117821.055068493
194,5,1106077.6812282205
195,6,1107230.567434311
196,7,1104706.306634903
197,8,1109477.7737035751
198,9,1103879.6007242203
199,10,1106257.308674693
200,11,1111395.7626037598
201,12,1109288.407119751
202,13,1114369.4258728027
203,14,1120874.6999435425
204,15,1122806.9904174805
205,16,1129665.2080535889
206,17,1129254.7457199097
207,18,1128428.2325897217
208,19,1133058.553390503
209,20,1129172.767288208
210,21,1123737.7655677795
211,22,1121463.6860351562
212,23,1117482.849319458
213,24,1143334.6129188538
214,25,1146798.7713623047
215,26,1168999.5021133423
216,27,1189348.5652389526
217,28,1196797.536201477
218,29,1209179.5238723755
219,30,1214532.334022522
